# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.01
# Times[minutes] Activity[kBq/ml]
5.903442e+01 1.781014e+01
5.933561e+01 8.761355e+00
5.963681e+01 1.785735e+01
5.993800e+01 1.341198e+01
6.023920e+01 1.243020e+01
6.054040e+01 1.483533e+01
6.084159e+01 1.751971e+01
6.114279e+01 1.122635e+01
6.144398e+01 1.144700e+01
6.174518e+01 1.208511e+01
6.204638e+01 1.017666e+01
6.234757e+01 1.263302e+01
6.264877e+01 1.262578e+01
6.294996e+01 1.340442e+01
6.325116e+01 1.273255e+01
6.355236e+01 1.531215e+01
6.385355e+01 7.666140e+00
6.415475e+01 1.348807e+01
6.445594e+01 1.218343e+01
6.475714e+01 1.434470e+01
6.505834e+01 1.196526e+01
6.535953e+01 1.505327e+01
6.566073e+01 1.201948e+01
6.596192e+01 1.086686e+01
6.626312e+01 1.403458e+01
6.656432e+01 1.194817e+01
6.686551e+01 1.305651e+01
6.716671e+01 1.559444e+01
6.746790e+01 1.449552e+01
6.776910e+01 1.472991e+01
6.807030e+01 1.470756e+01
6.837149e+01 1.106293e+01
6.867269e+01 1.108908e+01
6.897388e+01 1.324106e+01
6.927508e+01 1.253870e+01
6.957628e+01 1.405913e+01
6.987747e+01 9.371220e+00
7.017867e+01 1.144860e+01
7.047986e+01 1.717299e+01
7.078106e+01 9.617892e+00
7.108226e+01 8.825275e+00
7.138345e+01 1.584996e+01
7.168465e+01 1.469344e+01
7.198584e+01 1.269403e+01
7.228704e+01 1.685956e+01
7.258824e+01 1.264876e+01
7.288943e+01 1.487192e+01
7.319063e+01 1.140146e+01
7.349182e+01 1.061709e+01
7.379302e+01 1.368562e+01
7.409422e+01 1.291200e+01
7.439541e+01 1.495906e+01
7.469661e+01 1.364598e+01
7.499780e+01 1.532424e+01
7.529900e+01 1.504842e+01
7.560020e+01 1.318404e+01
7.590139e+01 1.251545e+01
7.620259e+01 1.381722e+01
7.650378e+01 1.596345e+01
7.680498e+01 1.040820e+01
7.710618e+01 1.225421e+01
7.740737e+01 1.646732e+01
7.770857e+01 8.638971e+00
7.800976e+01 1.394238e+01
7.831096e+01 1.270569e+01
7.861216e+01 1.089505e+01
7.891335e+01 1.464848e+01
