# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.25
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -2.525587e+00
3.011960e-01 7.134189e+00
6.023920e-01 1.051621e+01
9.035880e-01 1.467023e+00
1.204784e+00 5.980160e+00
1.505980e+00 2.755085e+01
1.807176e+00 2.249848e+01
2.108372e+00 3.580531e+01
2.409568e+00 2.604611e+01
2.710764e+00 3.323938e+01
3.011960e+00 2.613512e+01
3.313156e+00 2.431261e+01
3.614352e+00 4.059141e+01
3.915548e+00 4.823619e+01
4.216744e+00 3.539274e+01
4.517940e+00 3.053605e+01
4.819136e+00 4.744525e+01
5.120332e+00 4.308608e+01
5.421528e+00 3.772838e+01
5.722724e+00 3.583997e+01
6.023920e+00 3.055561e+01
6.325116e+00 3.895821e+01
6.626312e+00 3.554378e+01
6.927508e+00 4.542794e+01
7.228704e+00 5.088429e+01
7.529900e+00 4.464641e+01
7.831096e+00 5.549151e+01
8.132292e+00 3.279647e+01
8.433488e+00 4.509442e+01
8.734684e+00 5.250334e+01
9.035880e+00 3.282330e+01
9.337076e+00 4.718591e+01
9.638272e+00 5.686196e+01
9.939468e+00 5.370634e+01
1.024066e+01 4.798362e+01
1.054186e+01 5.009418e+01
1.084306e+01 5.826208e+01
1.114425e+01 4.353265e+01
1.144545e+01 5.009486e+01
1.174664e+01 4.515545e+01
1.204784e+01 4.595117e+01
1.234904e+01 4.993006e+01
1.265023e+01 5.241057e+01
1.295143e+01 6.119849e+01
1.325262e+01 6.991853e+01
1.355382e+01 6.736949e+01
1.385502e+01 6.263336e+01
1.415621e+01 5.580876e+01
1.445741e+01 5.428971e+01
1.475860e+01 6.868750e+01
1.505980e+01 6.286654e+01
1.536100e+01 5.756866e+01
1.566219e+01 4.386962e+01
1.596339e+01 7.163877e+01
1.626458e+01 5.213885e+01
1.656578e+01 6.325513e+01
1.686698e+01 6.596496e+01
1.716817e+01 6.630956e+01
1.746937e+01 6.148023e+01
1.777056e+01 6.409933e+01
1.807176e+01 5.833961e+01
1.837296e+01 7.164698e+01
1.867415e+01 8.255968e+01
1.897535e+01 7.968233e+01
1.927654e+01 7.069124e+01
1.957774e+01 6.564807e+01
1.987894e+01 8.740149e+01
2.018013e+01 6.231380e+01
2.048133e+01 6.766098e+01
2.078252e+01 8.514350e+01
2.108372e+01 7.480278e+01
2.138492e+01 7.087830e+01
2.168611e+01 9.228370e+01
2.198731e+01 7.105969e+01
2.228850e+01 7.483953e+01
2.258970e+01 8.436742e+01
2.289090e+01 7.927762e+01
2.319209e+01 8.622838e+01
2.349329e+01 7.955973e+01
2.379448e+01 7.841156e+01
2.409568e+01 7.189002e+01
2.439688e+01 7.728269e+01
2.469807e+01 8.800634e+01
2.499927e+01 8.041126e+01
2.530046e+01 5.882985e+01
2.560166e+01 8.055388e+01
2.590286e+01 9.076930e+01
2.620405e+01 9.793007e+01
2.650525e+01 9.106650e+01
2.680644e+01 8.072253e+01
2.710764e+01 9.018749e+01
2.740884e+01 8.766633e+01
2.771003e+01 6.929158e+01
2.801123e+01 9.255496e+01
2.831242e+01 9.095724e+01
2.861362e+01 9.378579e+01
2.891482e+01 7.679387e+01
2.921601e+01 8.717223e+01
2.951721e+01 8.135205e+01
2.981840e+01 9.023273e+01
3.011960e+01 9.568233e+01
3.042080e+01 7.481696e+01
3.072199e+01 9.021063e+01
3.102319e+01 8.723439e+01
3.132438e+01 9.100323e+01
3.162558e+01 7.576188e+01
3.192678e+01 9.541644e+01
3.222797e+01 8.753874e+01
3.252917e+01 8.542878e+01
3.283036e+01 8.558250e+01
3.313156e+01 7.989234e+01
3.343276e+01 9.086074e+01
3.373395e+01 8.630525e+01
3.403515e+01 9.931269e+01
3.433634e+01 8.750634e+01
3.463754e+01 1.034442e+02
3.493874e+01 8.165058e+01
3.523993e+01 9.022432e+01
3.554113e+01 9.430151e+01
3.584232e+01 9.998330e+01
3.614352e+01 9.376253e+01
3.644472e+01 9.753634e+01
3.674591e+01 8.158002e+01
3.704711e+01 9.672011e+01
3.734830e+01 8.523607e+01
3.764950e+01 9.448221e+01
3.795070e+01 8.952724e+01
3.825189e+01 9.322964e+01
3.855309e+01 8.517356e+01
3.885428e+01 9.952275e+01
3.915548e+01 9.279710e+01
3.945668e+01 9.996235e+01
3.975787e+01 1.022308e+02
4.005907e+01 9.191013e+01
4.036026e+01 9.336215e+01
4.066146e+01 1.066231e+02
4.096266e+01 1.007745e+02
4.126385e+01 9.192372e+01
4.156505e+01 1.110621e+02
4.186624e+01 1.031166e+02
4.216744e+01 1.168185e+02
4.246864e+01 9.857752e+01
4.276983e+01 9.246355e+01
4.307103e+01 1.013583e+02
4.337222e+01 1.014202e+02
4.367342e+01 1.114519e+02
4.397462e+01 1.043926e+02
4.427581e+01 1.045040e+02
4.457701e+01 9.545922e+01
4.487820e+01 9.100809e+01
4.517940e+01 1.162544e+02
4.548060e+01 1.022039e+02
4.578179e+01 9.649698e+01
4.608299e+01 1.000385e+02
4.638418e+01 9.601236e+01
4.668538e+01 1.166531e+02
4.698658e+01 1.080703e+02
4.728777e+01 9.928065e+01
4.758897e+01 9.515790e+01
4.789016e+01 9.755597e+01
4.819136e+01 9.291872e+01
4.849256e+01 1.060380e+02
4.879375e+01 1.160269e+02
4.909495e+01 1.183697e+02
4.939614e+01 1.024099e+02
4.969734e+01 1.046460e+02
4.999854e+01 1.096154e+02
5.029973e+01 1.011713e+02
5.060093e+01 1.189103e+02
5.090212e+01 1.180252e+02
5.120332e+01 1.222335e+02
5.150452e+01 1.284593e+02
5.180571e+01 1.037977e+02
5.210691e+01 1.111570e+02
5.240810e+01 1.012885e+02
5.270930e+01 1.044335e+02
5.301050e+01 1.196027e+02
5.331169e+01 1.089406e+02
5.361289e+01 1.070273e+02
5.391408e+01 1.105000e+02
5.421528e+01 1.174741e+02
5.451648e+01 1.242797e+02
5.481767e+01 1.200732e+02
5.511887e+01 1.106925e+02
5.542006e+01 1.167015e+02
5.572126e+01 1.270240e+02
5.602246e+01 1.186827e+02
5.632365e+01 1.196987e+02
5.662485e+01 9.765855e+01
5.692604e+01 1.191589e+02
5.722724e+01 1.293901e+02
5.752844e+01 1.220902e+02
5.782963e+01 1.098936e+02
5.813083e+01 1.304447e+02
5.843202e+01 1.186600e+02
5.873322e+01 1.310121e+02
5.903442e+01 1.221631e+02
5.933561e+01 1.194498e+02
5.963681e+01 1.293579e+02
5.993800e+01 1.367499e+02
6.023920e+01 1.262667e+02
6.054040e+01 1.210192e+02
6.084159e+01 1.115714e+02
6.114279e+01 1.328980e+02
6.144398e+01 1.219494e+02
6.174518e+01 1.167113e+02
6.204638e+01 1.334621e+02
6.234757e+01 1.292872e+02
6.264877e+01 1.249384e+02
6.294996e+01 1.180002e+02
6.325116e+01 1.207444e+02
6.355236e+01 1.169472e+02
6.385355e+01 1.192414e+02
6.415475e+01 1.201661e+02
6.445594e+01 1.306215e+02
6.475714e+01 1.241008e+02
6.505834e+01 1.429598e+02
6.535953e+01 1.333603e+02
6.566073e+01 1.237850e+02
6.596192e+01 1.281013e+02
6.626312e+01 1.236603e+02
6.656432e+01 1.128872e+02
6.686551e+01 1.294369e+02
6.716671e+01 1.172684e+02
6.746790e+01 1.235714e+02
6.776910e+01 1.191497e+02
6.807030e+01 1.271958e+02
6.837149e+01 1.257486e+02
6.867269e+01 1.315777e+02
6.897388e+01 1.395559e+02
6.927508e+01 1.394515e+02
