# Serial 2TCM with k1:0.50; k2:0.85; k3:0.25; k4:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -7.869350e+00
3.011960e-01 4.474674e+00
6.023920e-01 1.021935e+01
9.035880e-01 5.513690e+00
1.204784e+00 1.367742e+01
1.505980e+00 1.814257e+01
1.807176e+00 2.116847e+01
2.108372e+00 2.545037e+01
2.409568e+00 9.168517e+00
2.710764e+00 3.431762e+01
3.011960e+00 1.613984e+01
3.313156e+00 3.223000e+01
3.614352e+00 3.556623e+01
3.915548e+00 2.741137e+01
4.216744e+00 2.019285e+01
4.517940e+00 2.804130e+01
4.819136e+00 3.191707e+01
5.120332e+00 1.894327e+01
5.421528e+00 4.139588e+01
5.722724e+00 3.285735e+01
6.023920e+00 2.087198e+01
6.325116e+00 3.819278e+01
6.626312e+00 2.482253e+01
6.927508e+00 3.042689e+01
7.228704e+00 3.828530e+01
7.529900e+00 2.856296e+01
7.831096e+00 3.870214e+01
8.132292e+00 3.019719e+01
8.433488e+00 3.264061e+01
8.734684e+00 2.350920e+01
9.035880e+00 4.591099e+01
9.337076e+00 3.440541e+01
9.638272e+00 2.664582e+01
9.939468e+00 2.860062e+01
1.024066e+01 4.568840e+01
1.054186e+01 2.838343e+01
1.084306e+01 4.759950e+01
1.114425e+01 3.473476e+01
1.144545e+01 4.551436e+01
1.174664e+01 3.109832e+01
1.204784e+01 4.493801e+01
1.234904e+01 3.423962e+01
1.265023e+01 4.176012e+01
1.295143e+01 4.260765e+01
1.325262e+01 4.085881e+01
1.355382e+01 2.767351e+01
1.385502e+01 3.511855e+01
1.415621e+01 3.712488e+01
1.445741e+01 3.313936e+01
1.475860e+01 4.917273e+01
1.505980e+01 4.058640e+01
1.536100e+01 4.558596e+01
1.566219e+01 5.872794e+01
1.596339e+01 4.179142e+01
1.626458e+01 2.386815e+01
1.656578e+01 4.942915e+01
1.686698e+01 3.622523e+01
1.716817e+01 3.545775e+01
1.746937e+01 5.568576e+01
1.777056e+01 3.547989e+01
1.807176e+01 2.865258e+01
1.837296e+01 3.727459e+01
1.867415e+01 4.368011e+01
1.897535e+01 5.170970e+01
1.927654e+01 4.289065e+01
1.957774e+01 5.204445e+01
1.987894e+01 3.543170e+01
2.018013e+01 4.004364e+01
2.048133e+01 4.821069e+01
2.078252e+01 5.031212e+01
2.108372e+01 5.467599e+01
2.138492e+01 3.990174e+01
2.168611e+01 5.506401e+01
2.198731e+01 6.030034e+01
2.228850e+01 4.545577e+01
2.258970e+01 4.045221e+01
2.289090e+01 4.927939e+01
2.319209e+01 4.119239e+01
2.349329e+01 4.720859e+01
2.379448e+01 5.549022e+01
2.409568e+01 4.723708e+01
2.439688e+01 5.312555e+01
2.469807e+01 3.613728e+01
2.499927e+01 3.284577e+01
2.530046e+01 5.462689e+01
2.560166e+01 5.019283e+01
2.590286e+01 4.277122e+01
2.620405e+01 6.557659e+01
2.650525e+01 4.765270e+01
2.680644e+01 4.721493e+01
2.710764e+01 4.469446e+01
2.740884e+01 5.013988e+01
2.771003e+01 5.603828e+01
2.801123e+01 5.141189e+01
2.831242e+01 5.999071e+01
2.861362e+01 4.911759e+01
2.891482e+01 4.669954e+01
2.921601e+01 6.194706e+01
2.951721e+01 5.776387e+01
2.981840e+01 4.762488e+01
3.011960e+01 4.609308e+01
3.042080e+01 4.392396e+01
3.072199e+01 2.965727e+01
3.102319e+01 4.856487e+01
3.132438e+01 6.248794e+01
3.162558e+01 4.901998e+01
3.192678e+01 5.208038e+01
3.222797e+01 5.509638e+01
3.252917e+01 5.518355e+01
3.283036e+01 4.098437e+01
3.313156e+01 5.749628e+01
3.343276e+01 5.493155e+01
3.373395e+01 5.623884e+01
3.403515e+01 6.268805e+01
3.433634e+01 6.639954e+01
3.463754e+01 5.778742e+01
3.493874e+01 6.094489e+01
3.523993e+01 5.007416e+01
3.554113e+01 5.151735e+01
3.584232e+01 5.301111e+01
3.614352e+01 4.771693e+01
3.644472e+01 4.629514e+01
3.674591e+01 5.760324e+01
3.704711e+01 5.575912e+01
3.734830e+01 4.539887e+01
3.764950e+01 5.335153e+01
3.795070e+01 6.168244e+01
3.825189e+01 5.269616e+01
3.855309e+01 6.173691e+01
3.885428e+01 5.275003e+01
3.915548e+01 6.422120e+01
3.945668e+01 4.335067e+01
3.975787e+01 6.594164e+01
4.005907e+01 6.234948e+01
4.036026e+01 6.763999e+01
4.066146e+01 4.611623e+01
4.096266e+01 6.046868e+01
4.126385e+01 6.689086e+01
4.156505e+01 5.828325e+01
4.186624e+01 8.073468e+01
4.216744e+01 6.475810e+01
4.246864e+01 5.101183e+01
4.276983e+01 5.474200e+01
4.307103e+01 7.112661e+01
4.337222e+01 6.810213e+01
4.367342e+01 5.684556e+01
4.397462e+01 5.456715e+01
4.427581e+01 6.255854e+01
4.457701e+01 5.339766e+01
4.487820e+01 4.428324e+01
4.517940e+01 6.308469e+01
4.548060e+01 5.591998e+01
4.578179e+01 6.186113e+01
4.608299e+01 5.974507e+01
4.638418e+01 4.876567e+01
4.668538e+01 5.815595e+01
4.698658e+01 6.351613e+01
4.728777e+01 5.883494e+01
4.758897e+01 6.224274e+01
4.789016e+01 5.607758e+01
4.819136e+01 5.445027e+01
4.849256e+01 6.126253e+01
4.879375e+01 7.236264e+01
4.909495e+01 5.313846e+01
4.939614e+01 6.283655e+01
4.969734e+01 5.894188e+01
4.999854e+01 4.327609e+01
5.029973e+01 6.528788e+01
