# Serial 2TCM with k1:0.50; k2:0.85; k3:0.01; k4:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -4.692689e+00
3.011960e-01 -7.847852e+00
6.023920e-01 -5.660458e+00
9.035880e-01 8.451344e+00
1.204784e+00 2.620363e+01
1.505980e+00 1.739778e+01
1.807176e+00 2.333963e+01
2.108372e+00 3.015024e+01
2.409568e+00 1.700043e+01
2.710764e+00 2.721092e+01
3.011960e+00 2.029446e+01
3.313156e+00 2.745095e+01
3.614352e+00 3.081419e+01
3.915548e+00 2.282387e+01
4.216744e+00 1.502321e+01
4.517940e+00 1.899433e+01
4.819136e+00 1.373654e+01
5.120332e+00 3.199965e+01
5.421528e+00 -4.823143e+00
5.722724e+00 2.791963e+01
6.023920e+00 1.926353e+01
6.325116e+00 1.492421e+01
6.626312e+00 1.441649e+01
6.927508e+00 2.809895e+01
7.228704e+00 9.062702e+00
7.529900e+00 2.776348e+01
7.831096e+00 1.119095e+01
8.132292e+00 1.589333e+01
8.433488e+00 2.604528e+01
8.734684e+00 1.876431e+01
9.035880e+00 4.868080e+00
9.337076e+00 -9.680943e-01
9.638272e+00 2.024862e+01
9.939468e+00 1.571242e+01
1.024066e+01 1.481029e+01
1.054186e+01 2.003983e+01
1.084306e+01 1.572408e+01
1.114425e+01 1.033240e+01
1.144545e+01 2.559716e+01
1.174664e+01 1.863880e+01
1.204784e+01 2.038417e+01
1.234904e+01 6.181580e+00
1.265023e+01 1.287775e+01
1.295143e+01 8.533897e+00
1.325262e+01 1.977249e+01
1.355382e+01 1.086816e+01
1.385502e+01 2.464173e+01
1.415621e+01 7.461312e+00
1.445741e+01 1.054569e+01
1.475860e+01 1.148081e+01
1.505980e+01 1.713935e+01
1.536100e+01 1.120698e+00
1.566219e+01 2.255538e+01
1.596339e+01 1.811726e+00
1.626458e+01 1.215612e+01
1.656578e+01 1.243980e+01
1.686698e+01 1.948867e+01
1.716817e+01 -3.497088e+00
1.746937e+01 4.628651e+00
1.777056e+01 1.612598e+01
1.807176e+01 2.140019e+01
1.837296e+01 1.329874e+01
1.867415e+01 1.209994e+01
1.897535e+01 1.928640e+01
1.927654e+01 1.552055e+01
1.957774e+01 2.080424e+01
1.987894e+01 7.373169e+00
2.018013e+01 1.244083e+01
2.048133e+01 -1.560163e+00
2.078252e+01 8.250623e+00
2.108372e+01 1.070381e+01
2.138492e+01 1.482046e+01
2.168611e+01 3.563679e+00
2.198731e+01 6.849959e+00
2.228850e+01 1.819720e+01
2.258970e+01 1.311158e+01
2.289090e+01 3.199135e+01
2.319209e+01 1.122121e+01
2.349329e+01 6.250831e+00
2.379448e+01 2.566176e+01
2.409568e+01 1.149934e+00
2.439688e+01 6.090056e-02
2.469807e+01 3.353828e+00
2.499927e+01 -1.794388e+00
2.530046e+01 1.620237e+00
2.560166e+01 2.707326e+00
2.590286e+01 7.211677e+00
2.620405e+01 1.398864e+01
2.650525e+01 1.064851e+01
2.680644e+01 1.093461e+01
2.710764e+01 -6.770528e+00
2.740884e+01 2.335036e+01
2.771003e+01 9.130719e+00
2.801123e+01 6.516488e+00
2.831242e+01 2.162300e+01
2.861362e+01 1.503894e+01
2.891482e+01 1.273715e+01
2.921601e+01 6.840687e+00
2.951721e+01 1.343375e+00
2.981840e+01 2.174652e+00
3.011960e+01 9.317792e+00
3.042080e+01 3.664132e+01
3.072199e+01 2.845466e+01
3.102319e+01 7.362414e+00
3.132438e+01 2.940294e+00
3.162558e+01 8.010299e+00
3.192678e+01 1.845321e+01
3.222797e+01 1.393124e+01
3.252917e+01 3.059807e+01
3.283036e+01 1.299500e+01
3.313156e+01 1.103446e+01
3.343276e+01 2.649585e+00
3.373395e+01 8.197519e+00
3.403515e+01 -2.705694e+00
3.433634e+01 1.659427e+00
3.463754e+01 1.889029e+01
3.493874e+01 1.950766e+01
3.523993e+01 1.612221e+01
3.554113e+01 1.958976e+01
3.584232e+01 2.234130e+01
3.614352e+01 4.089572e+00
3.644472e+01 1.737987e+01
3.674591e+01 -3.889041e+00
3.704711e+01 -3.273485e+00
3.734830e+01 2.647488e+01
3.764950e+01 1.399139e+01
3.795070e+01 1.002588e+01
3.825189e+01 7.589571e+00
3.855309e+01 9.726022e+00
3.885428e+01 -1.318800e+00
3.915548e+01 -7.925623e-01
3.945668e+01 1.717840e+01
3.975787e+01 -2.784339e+00
4.005907e+01 1.251356e+00
4.036026e+01 4.244068e+00
4.066146e+01 8.558646e+00
4.096266e+01 4.164958e+00
4.126385e+01 8.366238e+00
4.156505e+01 1.073187e+01
4.186624e+01 3.411635e+00
4.216744e+01 -5.417417e+00
4.246864e+01 8.121787e+00
4.276983e+01 4.821319e+00
4.307103e+01 4.151224e+00
4.337222e+01 2.525239e+01
4.367342e+01 -1.532882e+00
4.397462e+01 2.500819e-01
4.427581e+01 8.890800e+00
4.457701e+01 7.536077e+00
4.487820e+01 9.895808e+00
4.517940e+01 -1.525912e+01
4.548060e+01 2.512657e+00
4.578179e+01 1.162634e+01
4.608299e+01 1.454490e+01
4.638418e+01 1.842422e+01
4.668538e+01 -4.435291e+00
4.698658e+01 -6.659881e+00
4.728777e+01 -4.392778e+00
4.758897e+01 1.646865e-01
4.789016e+01 1.735296e+01
4.819136e+01 -1.610455e+00
4.849256e+01 1.920420e+01
4.879375e+01 1.421465e+01
4.909495e+01 -1.574133e+00
4.939614e+01 5.808842e+00
4.969734e+01 8.973606e+00
4.999854e+01 1.334278e+00
5.029973e+01 3.117412e+01
5.060093e+01 5.517566e-01
5.090212e+01 1.759912e+01
5.120332e+01 1.293844e+01
5.150452e+01 1.078749e+01
5.180571e+01 1.190829e+01
5.210691e+01 -3.447952e-02
5.240810e+01 1.097208e+01
5.270930e+01 1.747925e+01
5.301050e+01 1.964357e+01
5.331169e+01 4.581843e+00
5.361289e+01 2.214420e+01
5.391408e+01 -8.066069e+00
5.421528e+01 4.131651e+00
5.451648e+01 4.986539e+00
5.481767e+01 -6.322405e-01
5.511887e+01 8.615752e+00
5.542006e+01 3.041909e+00
5.572126e+01 -8.502383e-01
5.602246e+01 1.744584e+01
5.632365e+01 -4.153983e+00
5.662485e+01 6.129453e+00
5.692604e+01 3.283840e+00
5.722724e+01 1.501757e+01
5.752844e+01 1.434846e+01
5.782963e+01 4.953306e+00
5.813083e+01 -1.008637e-01
5.843202e+01 1.479572e+01
5.873322e+01 1.103343e+01
5.903442e+01 -1.296968e+00
5.933561e+01 1.915025e+01
5.963681e+01 2.173343e+01
5.993800e+01 1.241039e+01
6.023920e+01 1.774908e+00
6.054040e+01 9.652030e+00
6.084159e+01 9.557737e+00
6.114279e+01 1.441680e+00
6.144398e+01 -2.771807e+00
6.174518e+01 7.225670e+00
6.204638e+01 1.392511e+01
6.234757e+01 7.575931e-02
6.264877e+01 1.450093e+01
6.294996e+01 1.358829e+01
6.325116e+01 1.311458e+01
6.355236e+01 3.687318e+00
6.385355e+01 6.444660e+00
6.415475e+01 3.934272e+00
6.445594e+01 2.809228e+01
6.475714e+01 9.134175e+00
6.505834e+01 6.325781e+00
6.535953e+01 8.533777e+00
6.566073e+01 8.227427e+00
6.596192e+01 3.764545e+00
6.626312e+01 1.502673e+01
6.656432e+01 -6.859440e+00
6.686551e+01 8.557933e+00
6.716671e+01 6.960797e+00
6.746790e+01 1.955871e+00
6.776910e+01 9.976029e+00
6.807030e+01 1.006644e+00
6.837149e+01 3.549641e+00
6.867269e+01 1.492112e+01
6.897388e+01 4.104224e+00
6.927508e+01 -5.485801e+00
6.957628e+01 -2.391657e+00
6.987747e+01 1.987724e+01
7.017867e+01 1.462521e+01
7.047986e+01 5.800871e-01
7.078106e+01 7.200089e+00
7.108226e+01 -1.082334e+01
7.138345e+01 6.011149e+00
7.168465e+01 3.294515e+00
7.198584e+01 2.231742e+01
7.228704e+01 2.061793e+01
7.258824e+01 7.950038e+00
7.288943e+01 7.670547e+00
7.319063e+01 1.363825e+01
7.349182e+01 1.571826e+01
7.379302e+01 3.745766e+00
7.409422e+01 1.725658e+01
7.439541e+01 8.501772e+00
7.469661e+01 8.790769e+00
7.499780e+01 -6.036930e+00
7.529900e+01 -9.867249e+00
7.560020e+01 -9.971686e-01
7.590139e+01 -3.416315e+00
7.620259e+01 -7.985172e+00
7.650378e+01 2.636539e+00
7.680498e+01 1.650796e+01
7.710618e+01 -5.680634e+00
7.740737e+01 5.004685e+00
7.770857e+01 2.386557e+01
7.800976e+01 1.264209e+01
7.831096e+01 1.359494e+01
7.861216e+01 1.459287e-02
7.891335e+01 4.570932e+00
7.921455e+01 9.187641e+00
7.951574e+01 1.958728e+01
7.981694e+01 -3.902777e+00
8.011814e+01 4.864884e+00
8.041933e+01 3.708468e+00
8.072053e+01 2.267415e+01
8.102172e+01 3.683448e+00
8.132292e+01 -2.988331e+00
8.162412e+01 1.252700e+01
8.192531e+01 1.783487e+00
8.222651e+01 -7.638383e+00
8.252770e+01 3.203497e+00
8.282890e+01 2.015119e+01
8.313010e+01 5.278913e+00
8.343129e+01 2.504731e+01
8.373249e+01 -9.918477e-01
8.403368e+01 8.398665e+00
8.433488e+01 4.384503e+00
8.463608e+01 3.543989e+00
8.493727e+01 5.461051e+00
8.523847e+01 8.170714e+00
8.553966e+01 9.361067e+00
8.584086e+01 -2.929606e+00
8.614206e+01 7.220998e+00
8.644325e+01 1.519082e+00
8.674445e+01 -1.615256e+00
8.704564e+01 2.036290e+00
8.734684e+01 9.410273e+00
8.764804e+01 1.590644e+01
8.794923e+01 1.413956e+01
8.825043e+01 1.060250e+01
8.855162e+01 1.710301e+01
8.885282e+01 2.191758e-01
8.915402e+01 1.585643e+01
8.945521e+01 -5.670394e+00
8.975641e+01 1.127433e+00
9.005760e+01 1.995788e+00
9.035880e+01 5.680451e-01
9.066000e+01 5.932461e+00
9.096119e+01 -2.249415e-01
9.126239e+01 3.705031e+00
9.156358e+01 4.767628e+00
9.186478e+01 7.114432e+00
9.216598e+01 1.072299e+01
9.246717e+01 3.710406e+00
