# Serial 2TCM with k1:0.50; k2:0.85; k3:0.25; k4:0.15
# Times[minutes] Activity[kBq/ml]
5.903442e+01 9.762893e+00
5.933561e+01 1.307110e+01
5.963681e+01 9.706823e+00
5.993800e+01 9.103903e+00
6.023920e+01 8.369924e+00
6.054040e+01 8.576193e+00
6.084159e+01 1.059204e+01
6.114279e+01 1.346634e+01
6.144398e+01 1.022218e+01
6.174518e+01 8.958559e+00
6.204638e+01 6.361465e+00
6.234757e+01 1.411947e+01
6.264877e+01 5.415021e+00
6.294996e+01 1.221210e+01
6.325116e+01 5.863191e+00
6.355236e+01 7.161940e+00
6.385355e+01 3.572372e+00
6.415475e+01 9.269478e+00
6.445594e+01 4.960025e+00
6.475714e+01 1.144041e+01
6.505834e+01 6.455712e+00
6.535953e+01 1.392552e+01
6.566073e+01 8.354242e+00
6.596192e+01 6.803404e+00
6.626312e+01 9.005517e+00
6.656432e+01 8.986214e+00
6.686551e+01 8.462348e+00
6.716671e+01 9.673418e+00
6.746790e+01 9.063106e+00
6.776910e+01 8.715451e+00
6.807030e+01 5.460455e+00
6.837149e+01 6.794438e+00
6.867269e+01 1.268815e+01
6.897388e+01 8.526442e+00
6.927508e+01 7.603843e+00
6.957628e+01 8.574892e+00
6.987747e+01 7.189219e+00
7.017867e+01 6.018896e+00
7.047986e+01 8.552909e+00
7.078106e+01 1.028517e+01
7.108226e+01 8.609083e+00
7.138345e+01 9.180482e+00
7.168465e+01 3.457887e+00
7.198584e+01 5.854411e-01
7.228704e+01 5.029622e+00
7.258824e+01 5.961625e+00
7.288943e+01 6.064292e+00
7.319063e+01 1.116603e+01
7.349182e+01 1.075968e+01
7.379302e+01 6.407780e+00
7.409422e+01 9.456442e+00
7.439541e+01 5.073081e+00
7.469661e+01 1.149583e+01
7.499780e+01 6.616042e+00
7.529900e+01 1.337528e+01
7.560020e+01 9.622914e+00
7.590139e+01 5.089575e+00
7.620259e+01 7.421124e+00
7.650378e+01 7.452096e+00
7.680498e+01 7.099348e+00
7.710618e+01 6.696468e+00
7.740737e+01 4.153544e+00
7.770857e+01 1.072138e+01
7.800976e+01 5.508545e+00
7.831096e+01 4.927687e+00
7.861216e+01 7.127779e+00
7.891335e+01 6.216558e+00
7.921455e+01 6.730795e+00
7.951574e+01 5.059446e+00
7.981694e+01 6.471949e+00
8.011814e+01 6.875736e+00
8.041933e+01 1.413253e+01
8.072053e+01 7.478027e+00
8.102172e+01 8.790285e+00
8.132292e+01 9.250112e+00
8.162412e+01 1.237114e+01
8.192531e+01 1.099900e+01
8.222651e+01 3.502830e+00
8.252770e+01 3.682568e+00
8.282890e+01 8.494362e+00
8.313010e+01 8.970994e+00
8.343129e+01 6.745747e+00
8.373249e+01 8.160793e+00
8.403368e+01 8.863028e+00
8.433488e+01 8.948904e+00
8.463608e+01 6.453384e+00
8.493727e+01 6.088562e+00
8.523847e+01 3.427336e+00
8.553966e+01 8.583985e+00
8.584086e+01 9.820808e+00
8.614206e+01 4.505440e+00
8.644325e+01 3.266913e+00
8.674445e+01 5.272826e+00
8.704564e+01 7.577211e+00
8.734684e+01 7.687476e+00
8.764804e+01 7.107850e+00
8.794923e+01 6.536655e+00
8.825043e+01 1.960708e+00
8.855162e+01 6.404209e+00
8.885282e+01 4.230854e+00
8.915402e+01 3.741697e+00
8.945521e+01 2.049283e+00
8.975641e+01 1.040529e+01
9.005760e+01 1.132162e+01
9.035880e+01 6.130013e+00
9.066000e+01 2.880295e+00
9.096119e+01 3.083628e+00
9.126239e+01 3.384553e+00
9.156358e+01 3.848346e+00
9.186478e+01 1.149606e+01
9.216598e+01 1.006381e+01
9.246717e+01 7.435484e+00
9.276837e+01 6.535942e+00
9.306956e+01 1.035561e+00
9.337076e+01 2.983595e+00
9.367196e+01 5.385899e+00
9.397315e+01 7.793227e+00
9.427435e+01 2.894879e+00
9.457554e+01 4.697234e+00
9.487674e+01 8.853622e+00
9.517794e+01 9.245340e+00
9.547913e+01 6.719947e+00
9.578033e+01 5.706355e+00
9.608152e+01 4.276204e+00
9.638272e+01 8.290972e+00
9.668392e+01 7.063636e+00
9.698511e+01 6.166515e+00
9.728631e+01 2.063657e+00
9.758750e+01 5.251247e+00
9.788870e+01 5.970331e+00
9.818990e+01 5.531562e+00
9.849109e+01 3.001261e+00
9.879229e+01 6.688486e+00
9.909348e+01 4.984585e+00
9.939468e+01 3.479752e+00
9.969588e+01 1.550022e+00
9.999707e+01 4.250964e+00
1.002983e+02 5.613025e+00
1.005995e+02 5.199994e+00
1.009007e+02 1.017590e+01
1.012019e+02 4.428011e+00
1.015031e+02 7.508969e+00
1.018042e+02 7.454221e+00
1.021054e+02 4.046643e+00
1.024066e+02 6.908678e+00
1.027078e+02 3.551706e+00
1.030090e+02 1.813908e+00
1.033102e+02 8.036367e+00
1.036114e+02 8.401895e+00
1.039126e+02 4.424819e+00
1.042138e+02 8.477932e+00
1.045150e+02 9.807191e+00
1.048162e+02 1.001252e+00
1.051174e+02 5.772509e+00
1.054186e+02 3.494000e+00
1.057198e+02 4.147680e+00
1.060210e+02 6.199837e+00
1.063222e+02 6.373199e+00
1.066234e+02 6.015719e+00
1.069246e+02 4.461926e+00
1.072258e+02 8.936877e+00
1.075270e+02 4.235419e+00
1.078282e+02 4.974742e+00
1.081294e+02 5.304080e+00
1.084306e+02 8.405261e+00
1.087318e+02 7.182210e+00
1.090330e+02 7.049924e+00
1.093341e+02 2.571904e+00
1.096353e+02 4.865138e+00
1.099365e+02 1.042430e+01
1.102377e+02 5.663268e+00
1.105389e+02 7.375793e+00
1.108401e+02 6.298219e+00
1.111413e+02 6.662145e+00
1.114425e+02 6.005817e+00
1.117437e+02 5.608334e+00
1.120449e+02 6.522641e+00
1.123461e+02 6.820638e+00
1.126473e+02 2.610467e+00
1.129485e+02 4.451244e+00
1.132497e+02 4.247681e+00
1.135509e+02 -5.123863e-01
1.138521e+02 2.726030e+00
1.141533e+02 4.978953e+00
1.144545e+02 3.699226e+00
1.147557e+02 6.105305e+00
1.150569e+02 4.507062e+00
1.153581e+02 4.930907e+00
1.156593e+02 8.826244e+00
1.159605e+02 8.087430e+00
1.162617e+02 1.281681e+00
1.165629e+02 5.034569e+00
1.168640e+02 4.817005e+00
1.171652e+02 9.629682e+00
1.174664e+02 5.604930e+00
1.177676e+02 4.332541e+00
1.180688e+02 3.046537e+00
1.183700e+02 5.813856e+00
1.186712e+02 3.990582e+00
1.189724e+02 8.240168e+00
1.192736e+02 5.005837e-01
1.195748e+02 3.452278e+00
1.198760e+02 5.972534e+00
