# 1TCM with k1:1.00; k2:0.25
# Times[minutes] Activity[kBq/ml]
5.933561e+01 3.952995e+01
5.963681e+01 2.404875e+01
5.993800e+01 2.952387e+01
6.023920e+01 3.639624e+01
6.054040e+01 2.352848e+01
6.084159e+01 1.398732e+01
6.114279e+01 2.922946e+01
6.144398e+01 3.275544e+01
6.174518e+01 2.950011e+01
6.204638e+01 3.357776e+01
6.234757e+01 3.880884e+01
6.264877e+01 1.695239e+01
6.294996e+01 2.386472e+01
6.325116e+01 4.355665e+00
6.355236e+01 2.396915e+01
6.385355e+01 2.950585e+01
6.415475e+01 3.002428e+01
6.445594e+01 4.963110e+00
6.475714e+01 3.715191e+01
6.505834e+01 2.595251e+01
6.535953e+01 1.164878e+01
6.566073e+01 3.568125e+01
6.596192e+01 1.705043e+01
6.626312e+01 3.517622e+01
6.656432e+01 2.154666e+01
6.686551e+01 1.510420e+01
6.716671e+01 1.882368e+01
6.746790e+01 1.764693e+01
6.776910e+01 2.197008e+01
6.807030e+01 3.015249e+01
6.837149e+01 2.842880e+01
6.867269e+01 1.908138e+01
6.897388e+01 1.569470e+01
6.927508e+01 2.537851e+01
6.957628e+01 3.130394e+01
6.987747e+01 2.247204e+01
7.017867e+01 2.262075e+01
7.047986e+01 1.844150e+01
7.078106e+01 5.122348e+00
7.108226e+01 3.222197e+01
7.138345e+01 2.879473e+01
7.168465e+01 1.918527e+01
7.198584e+01 3.411294e+01
7.228704e+01 2.058589e+01
7.258824e+01 2.299159e+01
7.288943e+01 2.562343e+01
7.319063e+01 3.835644e+01
7.349182e+01 2.719377e+01
7.379302e+01 2.965998e+01
7.409422e+01 3.838496e+01
7.439541e+01 1.100602e+01
7.469661e+01 1.018258e+01
7.499780e+01 2.385702e+01
7.529900e+01 2.205158e+01
7.560020e+01 2.631386e+01
7.590139e+01 2.102572e+01
7.620259e+01 1.483772e+01
7.650378e+01 1.438935e+01
7.680498e+01 3.192688e+01
7.710618e+01 1.098525e+01
7.740737e+01 3.204373e+01
7.770857e+01 1.970070e+01
7.800976e+01 2.304158e+01
7.831096e+01 1.894400e+01
7.861216e+01 2.481416e+01
7.891335e+01 3.123517e+01
7.921455e+01 1.484200e+01
7.951574e+01 2.037898e+01
7.981694e+01 1.907263e+01
8.011814e+01 1.340800e+01
8.041933e+01 1.752361e+01
8.072053e+01 1.632737e+01
8.102172e+01 1.959938e+01
8.132292e+01 1.134065e+01
8.162412e+01 1.820253e+01
8.192531e+01 1.503666e+01
8.222651e+01 3.068792e+01
8.252770e+01 2.533552e+01
8.282890e+01 1.597604e+01
8.313010e+01 3.109319e+01
8.343129e+01 1.621720e+01
8.373249e+01 6.379510e+00
8.403368e+01 1.139770e+01
8.433488e+01 1.772814e+01
8.463608e+01 2.410941e+01
8.493727e+01 1.055498e+01
8.523847e+01 2.546498e+01
8.553966e+01 2.469026e+01
8.584086e+01 1.275801e+01
8.614206e+01 2.900076e+01
8.644325e+01 2.121583e+01
8.674445e+01 2.301530e+01
8.704564e+01 3.174014e+01
8.734684e+01 2.023304e+01
8.764804e+01 2.604054e+01
8.794923e+01 1.549214e+01
8.825043e+01 1.014881e+01
8.855162e+01 3.769505e+01
8.885282e+01 2.251647e+01
8.915402e+01 1.307672e+01
8.945521e+01 1.181102e+01
8.975641e+01 8.956254e+00
9.005760e+01 2.472988e+01
9.035880e+01 2.855475e+01
9.066000e+01 1.648049e+01
9.096119e+01 7.889303e+00
9.126239e+01 1.738902e+01
9.156358e+01 2.734232e+01
9.186478e+01 9.674405e+00
9.216598e+01 2.614881e+01
9.246717e+01 2.183262e+01
9.276837e+01 1.461442e+01
9.306956e+01 1.931809e+00
9.337076e+01 2.166105e+01
9.367196e+01 2.151842e+01
9.397315e+01 2.571223e+01
9.427435e+01 1.872359e+01
9.457554e+01 1.482626e+01
9.487674e+01 1.248954e+01
9.517794e+01 1.980095e+01
9.547913e+01 2.087702e+01
9.578033e+01 3.018318e+01
9.608152e+01 2.260132e+01
9.638272e+01 9.589080e+00
9.668392e+01 2.129944e+01
9.698511e+01 9.285198e+00
9.728631e+01 2.541195e+01
9.758750e+01 1.548897e+01
9.788870e+01 2.273757e+01
9.818990e+01 1.923205e+01
9.849109e+01 2.230484e+01
9.879229e+01 4.032906e+01
9.909348e+01 1.483736e+01
9.939468e+01 1.583784e+01
9.969588e+01 2.310660e+01
9.999707e+01 -2.377913e+00
1.002983e+02 1.356798e+01
1.005995e+02 2.625532e+01
1.009007e+02 2.242105e+01
1.012019e+02 1.476237e+01
1.015031e+02 2.870741e+00
1.018042e+02 1.062257e+01
1.021054e+02 2.759930e+01
1.024066e+02 9.617646e+00
1.027078e+02 1.192924e+01
1.030090e+02 1.718457e+01
1.033102e+02 3.276798e+01
1.036114e+02 2.750172e+01
1.039126e+02 6.385371e+00
1.042138e+02 1.140997e+01
1.045150e+02 1.140028e+01
1.048162e+02 2.363054e+01
1.051174e+02 1.912195e+01
1.054186e+02 2.586672e+01
1.057198e+02 1.802552e+01
1.060210e+02 2.294819e+01
1.063222e+02 1.168388e+01
1.066234e+02 1.479816e+01
1.069246e+02 1.512149e+01
1.072258e+02 1.822069e+01
1.075270e+02 2.048734e+01
1.078282e+02 2.345305e+01
1.081294e+02 2.178557e+01
1.084306e+02 7.307416e+00
1.087318e+02 2.136498e+01
1.090330e+02 9.423838e+00
1.093341e+02 4.394705e+00
1.096353e+02 7.106404e+00
1.099365e+02 8.326074e+00
1.102377e+02 9.501368e+00
1.105389e+02 3.067713e+01
1.108401e+02 2.442533e+01
1.111413e+02 1.956958e+01
1.114425e+02 1.072656e+01
1.117437e+02 9.481666e+00
1.120449e+02 1.797109e+01
1.123461e+02 8.480272e+00
1.126473e+02 2.082409e+01
1.129485e+02 9.008234e+00
1.132497e+02 1.769907e+01
1.135509e+02 8.041654e+00
1.138521e+02 1.463905e+01
1.141533e+02 2.026929e+01
1.144545e+02 2.405813e+01
1.147557e+02 1.763372e+01
1.150569e+02 2.227418e+01
1.153581e+02 -2.031718e-03
1.156593e+02 8.663950e+00
1.159605e+02 5.895336e+00
1.162617e+02 8.886158e+00
1.165629e+02 9.635008e+00
1.168640e+02 1.470847e+01
1.171652e+02 7.252735e+00
1.174664e+02 2.517711e+01
1.177676e+02 1.567719e+01
1.180688e+02 2.187383e+01
1.183700e+02 4.991748e+00
1.186712e+02 2.970142e+00
1.189724e+02 1.420211e+01
1.192736e+02 2.548973e+01
1.195748e+02 9.750455e+00
1.198760e+02 8.368553e+00
