# 1TCM with k1:0.25; k2:1.00
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -1.166018e+00
3.011960e-01 1.083760e+01
6.023920e-01 -2.259301e+00
9.035880e-01 3.989873e-01
1.204784e+00 -1.899457e+00
1.505980e+00 1.777999e+01
1.807176e+00 1.316326e+01
2.108372e+00 1.687432e+01
2.409568e+00 6.179427e+00
2.710764e+00 3.883387e+00
3.011960e+00 2.824354e+00
3.313156e+00 1.347966e+01
3.614352e+00 -3.834672e-01
3.915548e+00 2.489005e+01
4.216744e+00 -9.630302e-01
4.517940e+00 -1.443840e+01
4.819136e+00 9.676554e+00
5.120332e+00 2.437845e+00
5.421528e+00 2.029960e+01
5.722724e+00 -3.422393e+00
6.023920e+00 -6.483429e-02
6.325116e+00 7.497230e+00
6.626312e+00 7.245895e+00
6.927508e+00 -4.665127e+00
7.228704e+00 1.812009e+01
7.529900e+00 2.514916e+01
7.831096e+00 8.123006e+00
8.132292e+00 4.108423e+00
8.433488e+00 -7.411463e+00
8.734684e+00 9.189108e+00
9.035880e+00 -1.272291e+01
9.337076e+00 9.779710e-01
9.638272e+00 4.550234e+00
9.939468e+00 1.515681e+01
1.024066e+01 1.355002e+01
1.054186e+01 1.681820e+01
1.084306e+01 -2.583332e+00
1.114425e+01 2.989140e+00
1.144545e+01 -1.173452e+00
1.174664e+01 -1.686007e+01
1.204784e+01 3.653830e+00
1.234904e+01 -2.386287e+00
1.265023e+01 5.631051e+00
1.295143e+01 2.299236e+00
1.325262e+01 6.584641e+00
1.355382e+01 1.009657e+01
1.385502e+01 1.382397e+01
1.415621e+01 3.204472e+00
1.445741e+01 1.069021e+00
1.475860e+01 -1.153113e+00
1.505980e+01 -2.947546e+00
1.536100e+01 9.157803e+00
1.566219e+01 9.859407e+00
1.596339e+01 1.370365e+01
1.626458e+01 8.868486e+00
1.656578e+01 1.380318e+01
1.686698e+01 2.351339e+00
1.716817e+01 1.138598e+01
1.746937e+01 -1.666820e+00
1.777056e+01 -5.222881e-01
1.807176e+01 -2.021764e+00
1.837296e+01 -7.073819e+00
1.867415e+01 4.918856e+00
1.897535e+01 -4.417232e+00
1.927654e+01 1.387926e+00
1.957774e+01 -6.906401e+00
1.987894e+01 9.573411e+00
2.018013e+01 6.948597e+00
2.048133e+01 -7.972108e+00
2.078252e+01 9.040047e+00
2.108372e+01 6.144720e+00
2.138492e+01 6.071389e+00
2.168611e+01 1.604178e+01
2.198731e+01 7.374417e+00
2.228850e+01 1.467042e+00
2.258970e+01 -4.219834e+00
2.289090e+01 3.121462e+00
2.319209e+01 1.108980e+00
2.349329e+01 6.404759e+00
2.379448e+01 -7.891517e+00
2.409568e+01 1.912570e+01
2.439688e+01 3.612736e+00
2.469807e+01 9.515195e-01
2.499927e+01 2.437258e-01
2.530046e+01 -1.640183e+01
2.560166e+01 1.392864e+01
2.590286e+01 9.330691e+00
2.620405e+01 -3.626437e+00
2.650525e+01 4.810405e+00
2.680644e+01 1.214683e+01
2.710764e+01 2.167756e+00
2.740884e+01 3.820301e+00
2.771003e+01 1.346354e+01
2.801123e+01 1.222166e+01
2.831242e+01 1.432337e+01
2.861362e+01 1.121188e+01
2.891482e+01 -1.319921e+01
2.921601e+01 2.807572e+00
2.951721e+01 -1.070315e+01
2.981840e+01 1.091893e+01
3.011960e+01 8.251551e+00
3.042080e+01 -8.755879e+00
3.072199e+01 2.786839e+00
3.102319e+01 1.035834e+00
3.132438e+01 1.182667e+01
3.162558e+01 -1.563689e-02
3.192678e+01 2.090375e+00
3.222797e+01 1.584936e+01
3.252917e+01 2.201373e+00
3.283036e+01 1.169850e+01
3.313156e+01 8.594973e+00
3.343276e+01 1.148602e+01
3.373395e+01 -3.655635e+00
3.403515e+01 9.669080e-01
3.433634e+01 3.221297e+00
3.463754e+01 -1.858431e+01
3.493874e+01 2.215118e+00
3.523993e+01 9.775155e+00
3.554113e+01 -2.886982e+00
3.584232e+01 6.530329e+00
3.614352e+01 -6.789092e-01
3.644472e+01 2.874481e+00
3.674591e+01 -5.680062e+00
3.704711e+01 2.414058e+00
3.734830e+01 -6.144271e+00
3.764950e+01 -2.548550e-01
3.795070e+01 -5.946844e+00
3.825189e+01 -3.366482e+00
3.855309e+01 -2.633296e+00
3.885428e+01 -3.234300e+00
3.915548e+01 4.612548e+00
3.945668e+01 4.100328e-01
3.975787e+01 4.969787e-01
4.005907e+01 -1.669091e+01
4.036026e+01 -5.443983e+00
4.066146e+01 -5.628864e+00
4.096266e+01 -1.481103e+01
4.126385e+01 1.257333e+01
4.156505e+01 -5.589496e+00
4.186624e+01 1.196028e+01
4.216744e+01 2.052244e-01
4.246864e+01 -4.325326e+00
4.276983e+01 -1.643221e+00
4.307103e+01 3.035838e-01
4.337222e+01 1.599205e+01
4.367342e+01 1.412774e+01
4.397462e+01 -3.294025e+00
4.427581e+01 2.210312e+00
4.457701e+01 7.761070e+00
4.487820e+01 -2.363096e+00
4.517940e+01 6.579670e+00
4.548060e+01 3.533831e+00
4.578179e+01 1.485146e+00
4.608299e+01 2.598198e+00
4.638418e+01 -4.936971e+00
4.668538e+01 -3.395187e+00
4.698658e+01 -6.899764e+00
4.728777e+01 2.322158e+00
4.758897e+01 8.707454e+00
4.789016e+01 1.023585e+01
4.819136e+01 1.211462e+01
4.849256e+01 -2.388542e+00
4.879375e+01 -4.395598e+00
4.909495e+01 2.812649e+00
4.939614e+01 3.875499e+00
4.969734e+01 -9.081571e-01
4.999854e+01 2.886362e+00
5.029973e+01 1.988399e+01
5.060093e+01 -2.088187e+00
5.090212e+01 5.112996e+00
5.120332e+01 4.864023e-02
5.150452e+01 -6.837450e-01
5.180571e+01 -1.443943e+01
5.210691e+01 -1.457518e+01
5.240810e+01 -7.397645e+00
5.270930e+01 -5.736823e-03
5.301050e+01 -3.647532e+00
5.331169e+01 -9.723318e+00
5.361289e+01 7.967046e+00
5.391408e+01 1.703505e+01
5.421528e+01 6.787371e+00
5.451648e+01 2.477077e+00
5.481767e+01 -6.425648e+00
5.511887e+01 8.298588e+00
5.542006e+01 6.624430e+00
5.572126e+01 4.324045e+00
5.602246e+01 -1.038832e+01
5.632365e+01 1.803880e+01
5.662485e+01 2.166995e+00
5.692604e+01 6.478313e+00
5.722724e+01 -5.187164e+00
5.752844e+01 8.510215e-02
5.782963e+01 -7.970685e-02
5.813083e+01 -1.222615e+01
5.843202e+01 1.104988e+01
5.873322e+01 -5.129218e+00
5.903442e+01 3.171631e+00
5.933561e+01 1.016919e+00
5.963681e+01 -1.560373e+01
5.993800e+01 -1.026884e+00
6.023920e+01 -2.327759e-02
6.054040e+01 1.231333e+01
6.084159e+01 -1.088138e+00
6.114279e+01 -1.302752e+00
6.144398e+01 1.038703e+01
6.174518e+01 1.150578e+01
6.204638e+01 -1.736442e+01
6.234757e+01 7.395019e+00
6.264877e+01 5.282154e+00
6.294996e+01 7.052619e+00
6.325116e+01 -5.634512e+00
6.355236e+01 -1.152809e+01
6.385355e+01 1.650722e+01
6.415475e+01 2.204022e+01
6.445594e+01 7.403348e+00
6.475714e+01 1.567219e+01
6.505834e+01 1.383541e+01
6.535953e+01 2.391986e-01
6.566073e+01 -2.170702e+00
6.596192e+01 -1.018783e+01
6.626312e+01 -1.837451e+00
6.656432e+01 2.831686e+00
6.686551e+01 -6.965481e+00
6.716671e+01 -1.596802e+00
6.746790e+01 -2.180389e+00
6.776910e+01 4.083932e+00
6.807030e+01 5.834476e+00
6.837149e+01 1.608899e+00
6.867269e+01 1.133185e+01
6.897388e+01 -7.228794e+00
6.927508e+01 1.739632e+01
6.957628e+01 2.844112e+00
6.987747e+01 6.528451e+00
7.017867e+01 1.552196e+00
7.047986e+01 -1.695763e+01
7.078106e+01 -2.028258e+00
7.108226e+01 6.275356e+00
7.138345e+01 3.000535e+00
7.168465e+01 8.595726e+00
7.198584e+01 1.847690e+00
7.228704e+01 -9.918150e+00
7.258824e+01 -1.002466e+01
7.288943e+01 1.183951e+01
7.319063e+01 -8.738082e+00
7.349182e+01 1.896412e+01
7.379302e+01 -4.658590e+00
7.409422e+01 9.548875e-02
7.439541e+01 1.662033e+01
7.469661e+01 5.179570e+00
7.499780e+01 5.255833e+00
7.529900e+01 1.296591e+01
7.560020e+01 -1.393527e+00
7.590139e+01 1.320891e+01
7.620259e+01 1.980820e+00
7.650378e+01 6.258714e+00
7.680498e+01 -3.661395e+00
7.710618e+01 1.163501e+01
7.740737e+01 -5.320992e+00
7.770857e+01 2.519136e+00
7.800976e+01 5.290676e+00
7.831096e+01 -4.323369e+00
7.861216e+01 3.388812e+00
7.891335e+01 -9.305152e-01
7.921455e+01 1.144516e+00
7.951574e+01 -1.566319e+01
7.981694e+01 6.105645e+00
8.011814e+01 3.257800e+00
8.041933e+01 6.015450e+00
8.072053e+01 -1.730671e+00
8.102172e+01 5.793312e+00
8.132292e+01 -3.144473e+00
8.162412e+01 2.475425e+00
8.192531e+01 4.721487e+00
8.222651e+01 -3.731662e+00
8.252770e+01 1.458977e+00
8.282890e+01 5.242143e-01
8.313010e+01 5.765579e+00
8.343129e+01 -7.415388e+00
8.373249e+01 3.330756e+00
8.403368e+01 9.438389e+00
8.433488e+01 -3.946281e+00
8.463608e+01 -1.713128e+01
8.493727e+01 4.887153e-01
8.523847e+01 -3.828799e+00
8.553966e+01 -2.752455e+00
8.584086e+01 -6.465615e-01
8.614206e+01 -4.543309e+00
8.644325e+01 6.846764e+00
8.674445e+01 5.678174e+00
8.704564e+01 8.338292e+00
8.734684e+01 -1.647764e+00
8.764804e+01 -1.038225e+00
8.794923e+01 -7.998938e+00
8.825043e+01 -8.872890e+00
8.855162e+01 5.381600e-01
8.885282e+01 9.617581e+00
8.915402e+01 -3.184493e+00
8.945521e+01 1.006175e+01
8.975641e+01 2.065350e+00
9.005760e+01 3.741839e+00
9.035880e+01 1.274793e+00
9.066000e+01 5.004965e+00
9.096119e+01 -1.797050e+01
9.126239e+01 9.053144e+00
9.156358e+01 -3.945838e+00
9.186478e+01 1.467833e+01
9.216598e+01 5.032526e+00
9.246717e+01 2.556628e+00
9.276837e+01 8.328650e+00
9.306956e+01 -5.437072e+00
9.337076e+01 -1.123278e+00
9.367196e+01 8.928017e-01
9.397315e+01 -6.269849e+00
9.427435e+01 1.923630e+00
9.457554e+01 -1.000927e+01
9.487674e+01 -1.513558e+01
9.517794e+01 -3.696969e+00
9.547913e+01 1.312264e+01
9.578033e+01 7.170550e+00
9.608152e+01 -4.753719e+00
9.638272e+01 -1.081037e+01
9.668392e+01 -4.678918e+00
9.698511e+01 7.062413e+00
9.728631e+01 -5.590778e+00
9.758750e+01 5.615580e+00
9.788870e+01 9.216180e+00
9.818990e+01 7.723152e+00
9.849109e+01 -8.530384e+00
9.879229e+01 3.983622e+00
9.909348e+01 1.100975e+01
9.939468e+01 7.808979e+00
9.969588e+01 5.016528e+00
9.999707e+01 8.033482e+00
1.002983e+02 1.783847e+00
1.005995e+02 2.895749e+00
1.009007e+02 -4.600751e+00
1.012019e+02 -5.474171e+00
1.015031e+02 -5.167864e-01
1.018042e+02 1.147152e+01
1.021054e+02 1.795424e+01
1.024066e+02 2.157175e+01
1.027078e+02 1.245033e+01
1.030090e+02 4.138402e+00
1.033102e+02 4.942750e+00
1.036114e+02 -2.187913e+00
1.039126e+02 -2.986498e+00
1.042138e+02 -4.552035e-01
1.045150e+02 -8.341506e+00
1.048162e+02 3.794063e+00
1.051174e+02 9.831304e+00
1.054186e+02 3.035912e+00
1.057198e+02 -5.155311e-01
1.060210e+02 3.561556e+00
1.063222e+02 1.788528e+00
1.066234e+02 3.846092e+00
1.069246e+02 8.391852e+00
1.072258e+02 1.218793e+01
1.075270e+02 6.356935e+00
1.078282e+02 -8.199314e+00
1.081294e+02 1.267328e-01
1.084306e+02 7.986382e+00
1.087318e+02 9.724175e+00
1.090330e+02 -7.595071e+00
1.093341e+02 1.427670e+01
1.096353e+02 2.785311e+00
1.099365e+02 5.961435e+00
1.102377e+02 9.129390e+00
1.105389e+02 8.109248e+00
1.108401e+02 1.296107e+01
1.111413e+02 -1.114045e+01
1.114425e+02 -5.906565e+00
1.117437e+02 5.517385e+00
1.120449e+02 -8.537874e+00
1.123461e+02 1.015919e+01
1.126473e+02 -2.987599e+00
1.129485e+02 -6.944211e+00
1.132497e+02 -4.022441e-01
1.135509e+02 -7.768467e+00
1.138521e+02 -5.808895e+00
1.141533e+02 1.083768e+01
1.144545e+02 -1.754476e-01
1.147557e+02 -4.175089e+00
1.150569e+02 6.256108e+00
1.153581e+02 2.338027e+00
1.156593e+02 -3.789533e+00
1.159605e+02 -2.790266e+00
1.162617e+02 4.458001e+00
1.165629e+02 6.051601e+00
1.168640e+02 -7.622792e+00
1.171652e+02 -2.864050e+00
1.174664e+02 1.908476e+00
1.177676e+02 -1.047777e+00
1.180688e+02 3.079625e+00
1.183700e+02 9.890074e+00
1.186712e+02 2.004385e+01
1.189724e+02 -1.037320e+01
1.192736e+02 -4.239059e+00
1.195748e+02 2.659566e+01
1.198760e+02 -5.579711e+00
