# 1TCM with k1:0.10; k2:0.00
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -1.895809e+01
3.011960e-01 3.858442e+00
6.023920e-01 2.603346e+00
9.035880e-01 3.220666e+00
1.204784e+00 1.364776e+01
1.505980e+00 1.266814e+01
1.807176e+00 -6.613342e+00
2.108372e+00 -3.722055e+00
2.409568e+00 6.250148e+00
2.710764e+00 1.170501e+01
3.011960e+00 6.258909e+00
3.313156e+00 1.159253e+01
3.614352e+00 2.717029e+01
3.915548e+00 1.227675e+01
4.216744e+00 2.225620e+01
4.517940e+00 9.767591e+00
4.819136e+00 1.322296e+01
5.120332e+00 8.117565e+00
5.421528e+00 2.320377e+01
5.722724e+00 3.049055e+01
6.023920e+00 2.971833e+01
6.325116e+00 1.198061e+01
6.626312e+00 2.433833e+01
6.927508e+00 2.306057e+01
7.228704e+00 2.116863e+01
7.529900e+00 7.299111e+00
7.831096e+00 1.855041e+01
8.132292e+00 1.523440e+01
8.433488e+00 2.621162e+01
8.734684e+00 1.339043e+01
9.035880e+00 1.708047e+01
9.337076e+00 3.450627e+01
9.638272e+00 1.735772e+01
9.939468e+00 1.302165e+01
1.024066e+01 2.288008e+01
1.054186e+01 2.388233e+01
1.084306e+01 1.920344e+01
1.114425e+01 2.013193e+01
1.144545e+01 2.385132e+01
1.174664e+01 3.755196e+01
1.204784e+01 3.215176e+01
1.234904e+01 3.080252e+01
1.265023e+01 1.782759e+01
1.295143e+01 2.381810e+01
1.325262e+01 2.443847e+01
1.355382e+01 3.802303e+01
1.385502e+01 2.239965e+01
1.415621e+01 3.699783e+01
1.445741e+01 5.347400e+01
1.475860e+01 4.189463e+01
1.505980e+01 2.423209e+01
1.536100e+01 3.154711e+01
1.566219e+01 4.870345e+01
1.596339e+01 3.992059e+01
1.626458e+01 2.120191e+01
1.656578e+01 2.950758e+01
1.686698e+01 2.707071e+01
1.716817e+01 2.832152e+01
1.746937e+01 4.669472e+01
1.777056e+01 3.291640e+01
1.807176e+01 4.175634e+01
1.837296e+01 4.326170e+01
1.867415e+01 5.047526e+01
1.897535e+01 4.396266e+01
1.927654e+01 2.366218e+01
1.957774e+01 2.342636e+01
1.987894e+01 5.770217e+01
2.018013e+01 5.425462e+01
2.048133e+01 2.916165e+01
2.078252e+01 5.448537e+01
